rendapc,anosestudo,idade,mfa,lnrendapc,urbana,homem,perpob
2111112,16,28,0,14.56272507,1,1,0
1087501,4,71,0,13.89939308,1,0,1
462501,11,56,1,13.04440403,1,0,0
675001,17,31,0,13.42246914,1,1,0
1900001,13,49,0,14.45736504,1,0,1
188640,13,70,0,12.14759541,1,1,0
75001,20,63,0,11.22525692,1,1,0
262501,8,52,0,12.47801018,1,1,0
375001,11,44,0,12.83468437,1,1,0
414001,5,70,0,12.93362331,1,1,1
862501,11,69,0,13.66759205,1,1,1
1171457,11,70,0,13.9737587,1,0,0
550001,9,81,0,13.21767521,1,0,0
239001,13,34,0,12.38422298,1,1,0
250001,9,70,0,12.4292202,1,1,1
500001,11,80,0,13.122365,1,1,0
2058334,9,65,0,14.53740788,1,0,0
450001,8,60,0,13.01700497,1,0,0
668084,5,62,0,13.41216946,1,1,0
443955,13,39,0,13.00347805,1,1,0
463334,11,45,0,13.04620361,1,0,0
560009,14,43,0,13.23570824,1,1,0
710001,15,49,0,13.47302151,1,1,0
373334,14,53,0,12.83022881,1,1,0
750126,13,53,0,13.52799606,1,1,0
693890,11,55,0,13.45006847,1,1,1
375001,11,52,0,12.83468437,1,1,0
625001,8,62,0,13.34550858,1,0,0
410118,11,37,0,12.92420006,1,1,0
1450001,16,69,0,14.18707466,1,1,0
1350001,18,36,0,14.11561584,1,1,0
1415201,16,26,0,14.16278172,1,1,0
359501,9,42,0,12.79247189,1,1,1
179376,5,72,0,12.09723949,1,1,1
624418,14,41,0,13.34457493,1,0,0
1207023,14,48,0,14.00366783,1,0,0
525001,15,25,0,13.17115498,1,1,0
1078822,11,51,0,13.89138031,1,1,0
400001,16,29,0,12.89922237,1,0,0
632501,14,20,0,13.35743713,1,0,0
213126,11,45,0,12.26963902,1,1,1
293334,11,39,0,12.58906746,1,0,1
458334,3,77,0,13.03535366,1,0,0
794634,14,58,0,13.58563709,1,1,1
1200834,11,27,0,13.99852657,1,1,0
378534,4,67,0,12.8440609,1,0,0
534029,15,36,0,13.18820572,1,0,0
1153001,13,28,0,13.95787907,1,1,0
718334,8,65,0,13.48468971,1,1,0
250001,14,37,0,12.4292202,1,0,0
137501,6,58,0,11.83138657,1,1,1
460001,11,59,1,13.0389843,1,1,0
122501,11,40,1,11.71587467,1,0,1
880001,9,48,0,13.68767834,1,1,0
259723,3,62,0,12.46737099,1,1,0
760001,9,52,0,13.54107475,1,1,1
611807,5,48,0,13.32417202,1,0,1
306057,5,82,0,12.63152695,1,1,1
445834,9,52,0,13.00770187,1,1,1
633668,14,28,0,13.35928059,1,1,0
445355,11,61,0,13.00662708,1,0,0
2308890,6,72,0,14.65227699,1,0,0
1040001,11,25,0,13.85473251,1,1,0
130001,11,45,0,11.77529716,1,0,1
309216,0,77,0,12.64179516,1,1,0
65001,3,52,0,11.08215809,1,0,1
296668,11,23,0,12.6003685,1,0,0
1744445,16,29,0,14.37194729,1,1,0
645501,0,67,0,13.37778187,1,1,0
470001,0,52,0,13.06048965,1,0,0
297095,11,36,0,12.60180759,1,0,0
369168,8,39,1,12.81900692,1,1,1
333751,4,48,1,12.71815014,1,0,1
259612,16,41,0,12.46694374,1,1,0
612501,9,31,0,13.32530594,1,1,0
434501,11,43,0,12.98195362,1,1,1
196029,0,60,1,12.18601799,1,0,1
166668,11,37,0,12.02375889,1,1,1
903126,17,46,1,13.71361732,1,0,0
80418,11,37,1,11.2949934,1,1,0
344728,14,24,0,12.75051117,1,0,0
334763,0,71,1,12.72117805,1,1,0
391668,12,21,0,12.87817001,1,0,0
800001,4,39,0,13.59236813,1,1,0
349751,11,48,1,12.7649765,1,1,0
221112,1,48,0,12.30642509,1,0,1
421668,0,69,0,12.95197392,1,0,0
150001,3,44,0,11.91839695,1,1,1
222223,2,45,0,12.31143665,1,1,0
