rural,mulher,anos_est,rndpcap,meanrndpcap,sufrnd
0,0,1,28.878,552.4429787,0
0,1,10,40.776,423.8047727,0
0,1,4,40.944,538.7673684,0
0,0,12,43.2225,568.2389655,0
1,0,8,46.00833333,277.348,0
0,1,6,50.48,388.5253623,0
1,0,4,52.166,273.712,0
1,0,6,54.77,277.348,0
1,1,8,56.7,570.3334375,0
0,0,10,60.52,452.7571111,0
0,1,9,61.16,519.7508511,0
1,0,5,65.64833333,515.4110909,0
0,1,7,67.875,651.0332143,0
1,0,4,68.68,718.9960345,0
0,1,7,70.31888889,645.2675676,0
0,0,3,71.35875,722.8679167,0
0,0,3,72.997,400.705,0
0,0,4,78.8,830.8612903,0
0,0,6,88.98,388.5253623,0
0,0,11,89.34666667,608.8389474,0
1,1,3,97.17857143,444.4342105,0
0,0,0,97.27,885.2687234,0
1,1,2,99.85,273.712,0
0,0,0,101.7171429,267.5275926,0
1,0,1,106.148,571.1861194,0
1,0,4,107.1,753.1506383,0
1,0,7,108.024,804.9061429,0
1,0,5,108.076,834.9436364,0
0,0,3,108.11,317.7251351,0
0,1,7,108.878,519.7508511,0
1,0,4,109.1666667,423.0136585,0
0,0,3,110.4328571,509.6545,0
0,1,8,112.1875,620.0084211,0
0,1,4,112.2316667,365.8461364,0
0,0,3,113.05,722.2689362,0
1,0,2,114.608,804.9061429,1
0,0,6,115.4442857,452.7571111,0
0,1,4,115.478,686.2056098,0
0,1,7,116,388.5253623,0
0,1,7,116.206,1845.036774,0
0,0,0,116.5142857,740.5191304,0
1,0,3,116.8883333,525.4981579,0
0,1,5,118.3633333,388.5253623,0
0,0,4,119.1433333,388.5253623,0
1,0,2,119.6433333,467.1654386,0
0,0,4,119.7516667,267.5275926,0
0,0,11,119.9711111,651.0332143,0
0,1,1,120.39,594.8609091,0
0,0,5,120.668,527.6662903,0
0,0,10,120.9533333,581.6348148,0
1,0,5,122.3166667,1727.349,0
0,0,8,122.8566667,888.5615385,0
0,0,4,125.97,409.7105714,0
0,0,12,128.006,416.7542424,0
1,0,2,129.23,444.4342105,1
1,1,0,129.3325,411.1992308,0
0,0,11,129.934,317.7251351,0
0,0,11,131.4175,640.6816667,0
0,0,11,131.535,736.2497368,0
0,0,0,133.8575,770.84,0
1,0,6,135.6666667,273.712,1
0,0,7,135.7533333,919.5608333,0
1,0,2,137.81,495.0122951,0
1,0,3,141.6075,273.712,0
0,1,4,141.93,919.5608333,0
0,0,11,142.3666667,603.4707143,0
1,0,3,143.42375,1727.349,0
0,1,8,143.935,661.8156667,0
0,0,3,144.93,388.5253623,0
0,0,11,144.9666667,764.1737838,0
1,0,6,145,273.712,0
0,0,8,145.826,402.0349153,0
0,1,6,147.3975,594.8609091,0
0,0,7,147.5,763.4109756,0
1,0,2,149.0175,563.237561,0
0,0,3,150.735,388.5253623,0
1,0,5,153.6133333,627.1180303,0
0,1,4,154.59,1509.350952,0
0,0,9,154.82,596.5957143,0
0,1,11,155.0875,548.2905556,0
1,0,2,155.25,277.348,0
0,0,4,158.746,596.5957143,0
